Date,Flow_number,Sample_name,Singlets_median,Recomb_count,Recomb_geomean,Recomb_median,recombined_construct,Cells,Replicate,Fold_consensus,Include
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G790_001.fcs,35574.37891,118906,34642.35547,38132.71875,G790,LPc4,R1,1,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G1102_002.fcs,7425.529785,127158,7295.064453,7981.67041,G1102,LPc4,R1,0.2093129122,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G1106_003.fcs,3121.262695,93182,3219.25,3430.424316,G1106,LPc4,R1,0.08996012948,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-1B_004.fcs,21878.49609,81885,21674.71484,23912.3457,1B,LPc4,R1,0.6270821091,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-1M_005.fcs,869.732666,66236,909.342041,921.977112,1M,LPc4,R1,0.02417811114,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-2GL-unrecombined_007.fcs,144.159821,5595,210.921463,213.871658,None,LPc4,R1,0.003780475815,
250904,F368,293T_landing_pad_081325_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-2hL_006.fcs,1575.998047,66172,1593.584473,1620.390381,2HL,LPc4,R1,0.0424934396,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G790_001.fcs,39425.25781,338377,50717.70313,52049.23438,G790,LPc4,R2,1,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G1102_002.fcs,7404.931641,232201,9955.083008,10191.94434,G1102,LPc4,R2,0.1958135304,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-G1106_003.fcs,2499.299072,203544,4073.955078,4120.693848,G1106,LPc4,R2,0.07916915392,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-1B_004.fcs,21279.11133,58656,36868.94922,37816.26172,1B,LPc4,R2,0.7265478959,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-1M_005.fcs,696.42395,96126,994.480286,982.804871,1M,LPc4,R2,0.01888221571,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-2GL-unrecombined_007.fcs,151.972824,45,3056.246582,2305.857422,None,LPc4,R2,0.002919789807,
250909,F369,293T_landing_pad_090925_NS_Tet-bxb-BFP-C4_tet-bxb-bfp-c4-2hL_006.fcs,1593.607178,67034,2237.14502,2248.924561,2HL,LPc4,R2,0.04320763961,
250909,F369,293T_landing_pad_090925_NS_G542AC3_G542AC3-G790_001.fcs,49510.71484,451164,48995.41016,50623.28906,G790,SLPc3,R1,1,
250909,F369,293T_landing_pad_090925_NS_G542AC3_G542AC3-G1102_002.fcs,8919.693359,60800,9272.270508,9094.833008,G1102,SLPc3,R1,0.1796570941,
250909,F369,293T_landing_pad_090925_NS_G542AC3_G542AC3-G1106_003.fcs,4236.764648,136983,4544.073242,4441.637207,G1106,SLPc3,R1,0.08773900885,
250909,F369,293T_landing_pad_090925_NS_G542AC3_G542AC3-unrecombined_007.fcs,118.027573,180,3408.943848,3121.262695,None,SLPc3,R1,0.002331487645,
250909,F369,293T_landing_pad_090925_NS_G542AC3_G542AC3-1B_004.fcs,32639.16211,89992,33588.35547,34792.54297,1B,SLPc3,R1,0.6872833357,
